@relation solar-flare-2-pn
@attribute largest_spot_size{A,R,S,X,K,H}
@attribute spot_distribution{X,O,I,C}
@attribute Activity integer[1,2]
@attribute Evolution integer[1,3]
@attribute Previous_24_hour_flare_activity_code integer[1,3]
@attribute Historically-complex integer[1,2]
@attribute Did_region_become_historically_complex integer[1,2]
@attribute Area integer[1,2]
@attribute Area_of_the_largest_spot integer[1,1]
@attribute C-class_flares_production_by_this_region integer[0,8]
@attribute M-class_flares_production_by_this_region integer[0,5]
@attribute X-class_flares_production_by_this_region integer[0,2]
@attribute y{p,n}
@inputs largest_spot_size, spot_distribution, Activity, Evolution, Previous_24_hour_flare_activity_code, Historically-complex, Did_region_become_historically_complex, Area, Area_of_the_largest_spot, C-class_flares_production_by_this_region, M-class_flares_production_by_this_region, X-class_flares_production_by_this_region
@outputs y
@data
K,C,2,2,1,2,2,1,1,4,0,0,n
S,I,2,2,1,2,2,1,1,0,0,0,n
X,O,1,2,1,1,2,1,1,0,0,0,n
R,O,1,3,1,1,2,1,1,0,0,0,n
X,O,1,3,1,1,2,1,1,1,0,0,n
X,O,1,3,1,1,2,1,1,0,0,0,n
S,O,1,2,1,1,2,1,1,3,0,0,n
R,X,1,2,1,2,2,1,1,0,0,0,p
A,X,1,2,1,2,2,1,1,0,0,0,p
S,O,1,2,1,2,2,1,1,0,0,0,n
A,I,1,2,1,2,2,2,1,1,0,0,n
S,O,1,2,1,2,2,1,1,1,0,0,n
R,O,1,2,1,1,2,1,1,0,0,0,n
A,C,2,3,1,1,2,1,1,2,0,0,n
X,O,1,1,1,1,2,1,1,0,0,0,n
A,I,2,3,1,1,2,1,1,2,0,0,n
A,X,1,2,1,2,2,1,1,0,0,0,p
S,O,1,3,1,2,2,1,1,1,0,0,n
A,C,2,3,1,2,2,2,1,2,0,0,n
S,O,1,2,1,2,2,1,1,0,0,0,n
A,I,2,3,1,2,2,1,1,3,0,0,n
X,O,1,3,1,1,2,1,1,0,0,0,n
A,I,2,3,1,2,2,1,1,0,0,0,n
S,O,2,3,1,2,2,1,1,0,0,0,n
A,I,2,2,1,2,2,1,1,2,0,0,n
S,X,1,1,1,2,2,1,1,1,0,0,p
A,I,2,2,1,2,2,1,1,0,0,0,n
X,O,1,2,1,1,2,1,1,0,0,0,n
S,I,2,2,1,2,2,1,1,0,0,0,n
S,X,1,2,1,1,1,1,1,0,0,0,p
A,C,2,2,1,2,2,1,1,1,0,0,n
S,X,1,2,1,2,2,1,1,0,0,0,p
A,O,1,2,1,2,2,1,1,1,0,0,n
A,I,1,2,1,2,2,1,1,1,0,0,n
X,O,1,3,1,1,2,1,1,0,0,0,n
S,O,1,3,1,1,2,1,1,1,0,0,n
S,X,1,2,1,2,2,1,1,0,0,0,p
A,I,2,2,1,2,2,1,1,0,0,0,n
A,O,1,2,1,2,2,1,1,0,0,0,n
S,I,1,2,1,2,2,1,1,0,0,0,n
A,O,1,3,1,1,2,1,1,2,0,0,n
S,X,1,2,1,1,1,1,1,0,0,0,p
S,O,1,1,1,2,2,1,1,0,0,0,n
S,I,2,3,1,2,2,1,1,0,0,0,n
S,O,2,2,1,1,2,1,1,1,0,0,n
S,O,1,2,1,1,2,1,1,0,0,0,n
A,I,1,2,1,2,2,1,1,0,0,0,n
S,X,1,2,1,1,2,1,1,2,0,0,p
A,O,1,3,1,1,2,1,1,0,0,0,n
H,X,1,2,1,1,1,1,1,0,0,0,p
X,O,1,3,1,1,2,1,1,0,0,0,n
R,O,1,3,1,1,2,1,1,0,0,0,n
S,I,1,2,1,2,2,1,1,0,0,0,n
S,O,2,3,1,1,2,1,1,0,0,0,n
S,O,1,3,1,1,2,1,1,0,0,0,n
H,X,1,3,1,1,1,1,1,0,0,0,p
X,O,1,3,1,1,2,1,1,0,0,0,n
S,X,1,2,1,1,1,1,1,1,0,0,p
X,O,1,3,1,1,2,1,1,0,0,0,n
R,O,1,2,1,1,2,1,1,3,0,0,n
R,O,1,2,1,1,2,1,1,0,0,0,n
S,O,1,2,1,2,2,1,1,0,0,0,n
S,O,2,2,1,1,2,1,1,0,0,0,n
S,O,1,3,1,1,2,1,1,0,0,0,n
H,O,1,3,1,1,2,1,1,0,0,0,n
X,O,1,1,1,1,2,1,1,0,0,0,n
S,X,1,2,1,1,1,1,1,0,0,0,p
X,O,1,3,1,1,2,1,1,0,0,0,n
R,C,2,3,1,1,2,1,1,0,0,0,n
R,I,1,3,1,1,2,1,1,0,0,0,n
S,X,1,1,1,2,2,1,1,0,0,0,p
S,O,1,2,1,1,2,1,1,0,0,0,n
S,O,1,2,1,1,2,1,1,2,0,0,n
K,O,1,2,1,1,2,1,1,2,0,0,n
S,X,2,2,1,1,1,1,1,0,0,0,p
X,O,1,2,1,1,2,1,1,0,0,0,n
K,C,1,3,1,2,2,1,1,0,1,0,n
A,I,1,3,1,2,2,1,1,0,0,0,n
R,O,1,3,1,1,2,1,1,0,0,0,n
R,X,1,1,1,2,2,1,1,0,0,0,p
S,X,1,2,1,1,2,1,1,0,0,0,p
S,O,1,2,1,1,2,1,1,0,0,0,n
S,O,1,3,1,1,2,1,1,0,0,0,n
S,X,1,2,1,1,1,1,1,0,0,0,p
K,C,1,3,1,2,2,2,1,2,1,0,n
R,O,1,3,1,2,2,2,1,0,0,0,n
S,X,1,3,1,1,1,1,1,0,0,0,p
S,X,1,1,1,1,2,1,1,0,0,0,p
S,O,2,2,1,1,2,1,1,0,0,0,n
S,O,2,1,1,1,2,1,1,0,0,0,n
S,X,1,1,1,1,1,1,1,0,0,0,p
X,O,1,3,1,1,2,1,1,0,0,0,n
A,C,2,1,3,2,2,1,1,5,0,0,n
A,O,1,1,1,2,2,1,1,3,0,0,n
R,X,1,3,1,1,2,1,1,0,0,0,p
S,X,1,2,1,1,1,1,1,0,0,0,p
S,X,1,2,1,1,1,1,1,0,0,0,p
S,X,1,3,1,1,2,1,1,0,0,0,p
S,X,1,3,1,1,2,1,1,1,0,0,p
H,X,1,3,1,1,2,1,1,0,0,0,p
S,X,1,3,1,1,1,1,1,0,0,0,p
K,C,2,3,3,2,2,2,1,1,0,0,n
A,O,2,2,1,2,2,1,1,1,0,0,n
S,O,1,3,1,1,2,1,1,1,0,0,n
S,X,1,3,1,1,1,1,1,0,0,0,p
S,O,1,3,1,1,2,1,1,0,0,0,n
S,X,1,2,1,1,2,1,1,0,0,0,p
S,X,1,2,1,1,2,1,1,0,0,0,p
H,O,1,3,1,1,2,1,1,1,0,0,n
X,O,1,1,1,1,2,1,1,0,0,0,n
K,C,2,3,1,2,2,2,1,0,0,0,n
A,O,2,2,1,2,2,1,1,0,0,0,n
S,I,1,3,1,1,2,1,1,0,0,0,n
S,X,1,3,1,1,1,1,1,0,0,0,p
R,I,1,3,1,1,2,1,1,0,0,0,n
A,O,1,3,1,1,2,1,1,1,0,0,n
S,X,1,2,1,1,2,1,1,0,0,0,p
S,O,2,3,1,1,2,1,1,1,0,0,n
S,O,1,2,1,1,2,1,1,0,0,0,n
K,I,2,2,1,2,2,2,1,1,0,0,n
R,O,2,2,1,2,2,1,1,0,0,0,n
R,I,1,3,1,1,2,1,1,0,0,0,n
R,O,1,3,1,1,2,1,1,0,0,0,n
A,I,1,3,1,1,2,1,1,0,1,0,n
S,O,1,3,1,1,2,1,1,1,0,0,n
S,O,1,3,1,1,2,1,1,0,0,0,n
S,X,1,1,1,1,2,1,1,0,0,0,p
S,X,2,2,1,1,2,1,1,0,0,0,p
A,I,1,2,1,2,2,1,1,2,0,0,n
R,I,1,3,1,1,2,1,1,1,0,0,n
S,O,1,3,1,1,2,1,1,0,0,0,n
S,I,2,2,1,2,2,1,1,0,0,0,n
A,O,2,3,1,1,2,1,1,0,0,0,n
S,O,1,2,1,1,2,1,1,3,0,0,n
S,X,1,2,1,1,2,1,1,0,0,0,p
S,X,1,3,1,1,2,1,1,0,0,0,p
A,I,2,2,1,2,2,1,1,1,0,1,n
R,I,2,2,1,1,2,1,1,0,0,0,n
A,I,1,3,1,1,2,1,1,0,0,0,n
A,O,2,2,3,2,2,1,1,0,0,0,n
A,O,1,2,1,1,2,1,1,0,0,0,n
R,O,1,3,1,1,2,1,1,1,0,0,n
S,X,1,2,1,1,2,1,1,0,0,0,p
S,X,1,2,1,1,2,1,1,0,0,0,p
K,I,2,3,1,2,2,2,1,3,0,0,n
A,I,1,2,1,2,2,1,1,0,0,0,n
A,I,1,3,1,2,2,1,1,0,0,0,n
X,I,1,2,1,2,2,1,1,0,1,0,n
A,O,1,3,1,1,2,1,1,0,0,0,n
A,O,2,3,1,1,2,1,1,0,0,0,n
R,O,1,3,1,1,2,1,1,0,0,0,n
X,O,1,3,1,1,2,1,1,1,0,0,n
X,O,1,2,1,1,2,1,1,0,0,0,n
S,X,1,3,1,1,2,1,1,0,0,0,p
S,X,1,2,1,1,2,1,1,0,0,0,p
K,I,2,2,3,2,2,1,1,0,0,0,n
R,C,1,3,1,2,2,1,1,1,0,0,n
A,I,1,2,1,2,2,1,1,0,0,0,n
S,X,1,1,1,2,2,1,1,0,0,0,p
A,O,1,2,1,1,2,1,1,0,0,0,n
A,O,2,3,1,1,2,1,1,0,0,0,n
R,O,1,2,1,1,2,1,1,0,0,0,n
X,O,1,2,1,1,2,1,1,0,0,0,n
R,O,1,2,1,1,2,1,1,0,0,0,n
X,I,1,3,1,1,2,1,1,0,0,0,n
R,X,1,2,1,1,1,1,1,0,0,0,p
S,X,1,2,1,1,1,1,1,0,0,0,p
S,O,1,1,1,2,2,1,1,0,0,0,n
R,I,2,2,1,2,2,1,1,0,0,0,n
R,O,1,2,1,2,2,1,1,1,0,0,n
A,X,2,3,2,2,2,1,1,0,0,0,p
A,X,1,2,1,1,2,1,1,0,0,0,p
A,I,1,2,1,1,2,1,1,0,0,0,n
S,X,1,1,1,1,2,1,1,0,0,0,p
R,O,1,3,1,1,2,1,1,0,0,0,n
R,O,1,3,1,1,2,1,1,0,0,0,n
R,O,1,3,1,1,2,1,1,0,0,0,n
S,X,1,2,1,2,1,1,1,0,0,0,p
R,O,1,3,1,1,2,1,1,0,0,0,n
R,O,1,3,1,1,2,1,1,0,0,0,n
R,O,1,1,1,2,2,1,1,0,0,0,n
S,X,1,2,1,2,2,1,1,0,0,0,p
A,X,1,3,1,1,2,1,1,0,0,0,p
S,I,1,2,1,2,2,1,1,0,3,0,n
X,O,1,3,1,1,2,1,1,0,0,0,n
X,I,1,3,1,1,2,1,1,0,0,0,n
S,I,1,3,1,1,2,1,1,0,0,0,n
R,X,1,3,1,1,2,1,1,0,0,0,p
A,X,1,2,1,2,1,1,1,0,0,0,p
R,X,1,2,1,1,2,1,1,0,0,0,p
X,O,1,3,1,1,2,1,1,0,0,0,n
X,O,1,3,1,1,2,1,1,0,0,0,n
X,O,1,3,1,1,2,1,1,0,0,0,n
S,O,1,2,1,2,2,1,1,0,0,0,n
X,O,2,1,1,2,2,1,1,0,0,0,n
R,X,1,2,1,2,2,1,1,0,0,0,p
R,O,1,1,1,1,2,1,1,0,0,0,n
S,O,1,2,1,2,2,1,1,0,0,0,n
X,O,1,2,1,1,2,1,1,0,0,0,n
R,O,1,1,1,1,2,1,1,0,0,0,n
R,O,1,2,1,2,2,1,1,0,0,0,n
R,O,1,3,1,1,2,1,1,0,0,0,n
A,O,1,3,1,2,2,1,1,0,0,0,n
S,X,1,3,1,1,2,1,1,0,0,0,p
R,O,1,3,1,1,2,1,1,0,0,0,n
R,X,1,1,1,1,2,1,1,0,0,0,p
R,I,1,3,1,1,2,1,1,2,0,0,n
A,O,1,3,1,2,2,1,1,0,0,0,n
X,O,1,3,1,1,2,1,1,0,0,0,n
R,X,1,3,1,1,2,1,1,0,0,0,p
S,O,2,2,3,2,2,1,1,1,0,0,n
R,X,1,3,1,1,2,1,1,0,0,0,p
R,O,1,2,1,2,2,1,1,0,0,0,n
R,O,1,2,1,1,2,1,1,0,0,0,n
A,X,1,2,1,2,2,1,1,0,0,0,p
R,O,1,3,1,1,2,1,1,0,0,0,n
X,O,1,3,1,1,2,1,1,0,0,0,n
R,I,1,3,1,1,2,1,1,2,0,0,n
A,X,1,2,1,2,2,1,1,0,1,0,p
R,O,1,3,1,1,2,1,1,0,0,0,n
S,X,1,3,1,2,2,1,1,0,0,0,p
X,O,1,2,1,1,2,1,1,0,0,0,n
S,X,1,2,1,1,2,1,1,0,0,0,p
S,O,1,2,1,2,2,1,1,0,0,0,n
R,O,1,1,1,1,2,1,1,0,0,0,n
R,X,1,3,1,1,2,1,1,0,0,0,p
A,I,2,3,1,2,2,1,1,1,0,0,n
R,I,1,2,1,2,2,1,1,0,0,0,n
R,O,1,2,1,1,2,1,1,0,0,0,n
X,O,1,3,1,1,2,1,1,0,0,0,n
S,O,1,2,1,1,2,1,1,1,0,0,n
S,X,2,2,1,2,2,1,1,0,0,0,p
X,O,1,3,1,1,2,1,1,0,0,0,n
S,O,1,3,1,2,2,1,1,0,0,0,n
A,I,1,3,1,1,2,1,1,0,0,0,n
A,I,2,2,1,2,2,1,1,0,0,0,n
R,I,2,3,2,2,2,1,1,0,0,0,n
S,O,1,3,1,1,2,1,1,0,1,0,n
S,X,1,2,1,2,2,1,1,0,0,0,p
A,O,1,2,1,2,2,1,1,0,0,0,n
R,O,1,2,1,2,2,1,1,0,0,0,n
A,I,1,2,1,2,2,1,1,0,0,0,n
X,O,1,2,1,2,2,1,1,0,0,0,n
A,I,2,3,1,1,2,1,1,0,0,0,n
R,O,1,3,1,1,2,1,1,0,0,0,n
X,O,1,3,1,1,2,1,1,0,0,0,n
S,X,1,2,1,2,2,1,1,0,0,0,p
A,O,1,3,1,2,2,1,1,0,0,0,n
R,I,1,2,1,2,2,1,1,0,0,0,n
R,O,1,2,1,2,2,1,1,0,0,0,n
X,I,1,3,1,2,2,1,1,0,0,0,n
A,I,2,3,3,2,2,1,1,2,0,0,n
R,O,1,3,1,1,2,1,1,1,0,0,n
X,O,1,3,1,1,2,1,1,0,0,0,n
R,O,1,3,1,1,2,1,1,0,0,0,n
A,X,1,2,1,2,2,1,1,0,0,0,p
X,O,1,1,1,2,2,1,1,0,0,0,n
A,O,1,2,1,2,2,1,1,0,0,0,n
A,I,1,2,1,2,2,1,1,4,0,0,n
R,O,1,1,1,1,2,1,1,0,0,0,n
R,O,1,1,1,1,2,1,1,0,0,0,n
A,X,1,2,1,2,2,1,1,0,0,0,p
R,O,1,2,1,2,2,1,1,0,0,0,n
S,O,2,3,1,2,2,1,1,1,0,0,n
X,O,2,3,1,1,2,1,1,0,0,0,n
S,O,1,3,1,1,2,1,1,0,0,0,n
X,O,1,3,1,1,2,1,1,0,0,0,n
X,O,1,3,1,1,2,1,1,0,0,0,n
S,X,1,2,1,2,2,1,1,0,0,0,p
A,I,2,2,1,2,2,1,1,0,1,0,n
R,X,1,2,1,1,2,1,1,0,0,0,p
R,O,1,2,1,1,2,1,1,0,0,0,n
R,X,1,2,1,1,2,1,1,0,0,0,p
S,X,1,2,1,1,1,1,1,0,0,0,p
S,X,1,3,1,2,2,1,1,0,0,0,p
K,I,2,3,2,2,2,1,1,2,0,0,n
X,O,1,2,1,1,2,1,1,0,0,0,n
X,I,1,2,1,1,2,1,1,0,0,0,n
X,O,1,2,1,1,2,1,1,0,0,0,n
S,X,1,2,1,1,1,1,1,0,0,0,p
X,O,1,3,1,1,2,1,1,0,0,0,n
S,X,1,2,1,1,1,1,1,0,1,0,p
K,I,1,3,1,2,2,1,1,4,0,0,n
X,O,1,1,1,1,2,1,1,0,0,0,n
X,O,1,3,1,1,2,1,1,0,0,0,n
S,X,1,2,1,1,1,1,1,0,0,0,p
S,O,2,3,3,1,2,1,1,0,1,0,n
X,O,1,3,1,1,2,1,1,0,0,0,n
R,O,1,2,1,1,2,1,1,0,0,0,n
K,I,2,3,1,2,2,1,1,3,1,0,n
X,O,1,3,1,1,2,1,1,0,0,0,n
S,X,1,2,1,1,1,1,1,0,0,0,p
S,O,1,3,1,1,2,1,1,0,0,0,n
X,O,1,3,1,1,2,1,1,0,0,0,n
R,O,1,3,1,1,2,1,1,0,0,0,n
R,O,1,3,1,1,2,1,1,0,0,0,n
R,O,1,3,1,1,2,1,1,0,0,0,n
K,I,2,2,1,2,2,1,1,1,0,0,n
A,I,1,3,1,1,2,1,1,0,0,0,n
S,X,1,2,1,1,1,1,1,0,0,0,p
S,O,2,2,2,1,2,1,1,0,0,0,n
R,O,1,2,1,1,2,1,1,0,0,0,n
X,O,1,2,1,1,2,1,1,0,0,0,n
X,O,1,2,1,1,2,1,1,0,0,0,n
X,O,1,3,1,1,2,1,1,1,0,0,n
X,O,1,3,1,1,2,1,1,0,0,0,n
S,O,1,2,1,1,2,1,1,1,0,0,n
A,I,2,2,3,2,2,1,1,0,0,0,n
S,O,1,3,1,1,2,1,1,1,0,0,n
A,I,1,2,1,2,2,1,1,0,0,0,n
S,O,1,3,1,1,2,1,1,0,0,0,n
R,X,1,3,1,1,2,1,1,0,0,0,p
R,O,1,3,1,1,2,1,1,0,0,0,n
X,O,1,2,1,1,2,1,1,0,0,0,n
X,O,1,3,1,1,2,1,1,0,0,0,n
A,I,1,3,1,1,2,1,1,0,0,0,n
S,X,1,2,1,1,1,1,1,0,0,0,p
R,O,1,3,1,1,2,1,1,1,0,0,n
A,X,1,1,1,2,2,1,1,0,0,0,p
S,X,1,1,1,1,2,1,1,0,0,0,p
A,I,1,3,1,2,2,1,1,0,0,0,n
S,X,1,1,1,1,2,1,1,0,0,0,p
S,O,1,2,1,1,2,1,1,0,0,0,n
R,O,1,2,1,1,2,1,1,1,0,0,n
S,I,2,3,1,1,2,1,1,0,0,0,n
A,C,2,3,1,2,2,1,1,0,0,0,n
S,X,1,3,1,1,1,1,1,0,0,0,p
R,O,1,2,1,1,2,1,1,0,0,0,n
A,O,1,3,1,1,2,1,1,0,0,0,n
R,O,1,3,1,1,2,1,1,0,0,0,n
S,X,1,3,1,1,2,1,1,0,0,0,p
S,X,1,2,1,1,1,1,1,0,0,0,p
X,O,1,2,1,1,2,1,1,0,0,0,n
A,I,1,3,1,2,2,1,1,1,0,0,n
S,O,1,3,1,1,2,1,1,0,0,0,n
S,X,1,3,1,1,2,1,1,0,0,0,p
R,X,1,1,1,1,2,1,1,0,0,0,p
A,O,1,1,1,2,2,1,1,0,0,0,n
A,I,1,2,1,2,2,1,1,0,0,0,n
S,X,1,2,1,1,1,1,1,0,0,0,p
R,O,2,2,1,1,2,1,1,0,0,0,n
R,O,1,3,1,1,2,1,1,0,0,0,n
S,I,1,3,1,1,2,1,1,1,0,0,n
R,X,1,2,1,1,1,1,1,0,0,0,p
R,X,1,2,1,1,2,1,1,0,0,0,p
A,C,1,3,1,2,2,1,1,0,0,0,n
A,O,1,3,1,1,2,1,1,0,0,0,n
S,O,1,3,1,1,2,1,1,0,0,0,n
S,X,2,2,1,1,2,1,1,0,0,0,p
R,O,1,3,1,2,2,1,1,0,0,0,n
S,O,1,2,1,2,2,1,1,0,0,0,n
H,X,1,2,1,1,1,1,1,0,0,0,p
R,O,1,3,1,1,2,1,1,0,0,0,n
S,I,1,3,1,2,2,1,1,1,0,0,n
R,O,1,3,1,1,2,1,1,0,1,0,n
R,X,1,3,1,1,2,1,1,0,0,0,p
S,X,1,2,1,2,1,1,1,0,0,0,p
S,X,1,2,1,1,1,1,1,0,0,0,p
A,O,1,1,1,2,2,1,1,0,0,0,n
S,I,1,3,1,1,2,1,1,0,0,0,n
S,X,1,3,1,1,2,1,1,0,0,0,p
R,I,1,3,1,2,2,1,1,0,0,0,n
R,I,1,3,1,2,2,1,1,0,0,0,n
A,X,1,2,1,1,1,1,1,0,0,0,p
X,O,1,2,1,1,2,1,1,0,0,0,n
A,I,2,3,1,2,2,1,1,2,0,0,n
R,O,1,3,1,1,2,1,1,0,1,0,n
H,X,1,3,1,2,1,1,1,0,0,0,p
A,I,1,2,1,1,2,1,1,0,0,0,n
R,O,1,3,1,1,2,1,1,0,0,0,n
X,O,1,3,1,1,2,1,1,0,0,0,n
S,I,1,3,1,2,2,1,1,0,0,0,n
S,X,1,2,1,1,2,1,1,0,0,0,p
A,I,1,3,1,2,2,1,1,0,0,0,n
R,O,1,3,1,1,2,1,1,0,0,0,n
R,O,1,2,1,2,2,1,1,0,0,0,n
S,X,1,3,1,1,1,1,1,0,0,0,p
R,O,1,3,1,1,2,1,1,0,0,0,n
A,I,2,2,1,2,2,1,1,3,0,0,n
A,I,2,3,3,1,2,1,1,1,0,0,n
X,O,1,2,1,1,2,1,1,0,0,0,n
A,X,1,3,1,2,1,1,1,0,0,0,p
A,I,1,3,1,2,2,1,1,3,0,0,n
R,O,1,2,1,1,2,1,1,0,0,0,n
S,O,1,1,1,2,2,1,1,0,0,0,n
S,X,1,2,1,1,2,1,1,0,0,0,p
R,O,1,1,1,2,2,1,1,0,0,0,n
R,O,1,2,1,1,2,1,1,0,0,0,n
X,O,1,2,1,2,2,1,1,0,0,0,n
S,X,1,3,1,1,1,1,1,0,0,0,p
R,O,1,2,1,1,2,1,1,0,0,0,n
A,O,2,2,1,2,2,1,1,4,0,0,n
A,I,1,3,1,2,2,1,1,0,0,0,n
A,X,1,3,1,2,1,1,1,0,0,0,p
A,I,2,3,1,2,2,1,1,0,1,0,n
R,O,1,3,1,1,2,1,1,0,0,0,n
S,O,1,2,1,2,2,1,1,0,0,0,n
S,X,1,2,1,1,2,1,1,0,0,0,p
R,O,1,3,1,2,2,1,1,0,0,0,n
S,X,1,2,1,1,1,1,1,0,0,0,p
A,O,1,1,1,1,2,1,1,0,0,0,n
A,I,1,2,1,2,2,1,1,0,0,0,n
A,C,2,2,1,2,2,1,1,0,0,0,n
A,X,1,2,1,2,1,1,1,0,0,0,p
A,C,2,2,3,2,2,1,1,0,0,0,n
S,I,1,2,1,2,2,1,1,0,0,0,n
R,X,1,2,1,1,1,1,1,0,0,0,p
S,X,1,3,1,1,2,1,1,0,0,0,p
A,I,1,3,1,2,2,1,1,0,1,0,n
S,X,1,3,1,1,1,1,1,0,0,0,p
A,O,2,3,1,2,2,1,1,0,0,0,n
A,O,1,2,1,2,2,1,1,1,0,0,n
A,O,1,2,1,2,2,1,1,0,0,0,n
A,C,1,2,1,2,2,1,1,0,0,0,n
S,I,1,3,1,2,2,1,1,5,1,0,n
R,X,1,3,1,1,1,1,1,0,0,0,p
R,I,1,3,1,1,2,1,1,1,0,0,n
S,X,1,3,1,1,1,1,1,0,0,0,p
S,X,1,3,1,2,1,1,1,0,0,0,p
